INCOME,INCOME,SAVING,SAVINGS,DEBT,DEBT,CREDIT_SCORE,MAX,AVG,MIN,INCOMEMAIN,SAVINGMAIN,DEBTMAIN,CREDITS
0.050248152,33269,0,0,0.089183764,532304,444,662094,121610.019,0,-0.133426702,-0.079594621,-0.043295443,-0.285424
0.116536323,77158,0.03131569,91187,0.052884586,315648,625,2911863,413189.597,0,-0.067138532,-0.110583017,-0.079594621,0.076576
0.046695786,30917,0.007432355,21642,0.089612674,534864,469,5968620,790718.045,0,-0.136979068,-0.134466353,-0.042866533,-0.235424
0.121821071,80657,0.022159696,64526,0.105405437,629125,559,800,586.712,300,-0.061853784,-0.119739011,-0.02707377,-0.055424
0.226510133,149971,0.402662488,1172498,0.402024421,2399531,473,,,,0.042835279,0.26076378,0.269545214,-0.227424
0.274335668,181636,0.116439201,339055,0.28403115,1695274,596,,,,0.090660814,-0.025459507,0.151551942,0.018576
0.0919522,60881,0.014635647,42617,0.064261085,383550,580,,,,-0.091722654,-0.12726306,-0.068218122,-0.013424
0.333544784,220838,0.064173005,186863,0.372843639,2225362,596,,,,0.149869929,-0.077725702,0.240364432,0.018576
0.118736917,78615,0.021598544,62892,0.018439941,110061,638,,,,-0.064937938,-0.120300164,-0.114039266,0.102576
0.262802563,174000,0.516071326,1502729,0.068905878,411273,636,,,,0.079127708,0.374172618,-0.063573329,0.098576
0.291839225,193225,0.484412213,1410542,0.433804632,2589215,552,,,,0.108164371,0.342513505,0.301325424,-0.069424
0.149430443,98937,0.030579392,89043,0.124321535,742028,538,,,,-0.034244411,-0.111319316,-0.008157672,-0.097424
0.021584548,14291,0.071164062,207220,0.003352031,20007,624,,,,-0.162090306,-0.070734645,-0.129127176,0.074576
0.252177183,166965,0.137614991,400716,0.113760132,678991,582,,,,0.068502329,-0.004283717,-0.018719075,-0.009424
0.316190752,209348,0.071894866,209348,0.181750723,1084801,602,,,,0.132515898,-0.070003842,0.049271516,0.030576
0.124782886,82618,0.295078099,859227,0.022147331,132189,636,,,,-0.058891969,0.153179392,-0.110331877,0.098576
0.08598477,56930,0.139028519,404832,0.009538218,56930,651,,,,-0.097690085,-0.002870189,-0.122940989,0.128576
0.053635889,35512,0.006097814,17756,0.04581327,273442,548,,,,-0.130038966,-0.135800893,-0.086665937,-0.077424
0,0,0.019892076,57923,0.009704588,57923,576,,,,-0.183674854,-0.122006632,-0.122774619,-0.021424
0.038213607,25301,0.079780539,232310,0.003853655,23001,593,,,,-0.145461247,-0.062118169,-0.128625552,0.012576
0.572264663,378893,0.213769329,622467,0.331007335,1975657,563,,,,0.388589809,0.071870621,0.198528128,-0.047424
0.010253831,6789,0.001332137,3879,0,0,599,,,,-0.173421023,-0.140566571,-0.132479207,0.024576
0.017174299,11371,0.03159455,91999,0.001558652,9303,673,,,,-0.166500556,-0.110304158,-0.130920555,0.172576
0.122576251,81157,0.005067546,14756,0.01359728,81157,646,,,,-0.061098604,-0.136831162,-0.118881927,0.118576
0.191498488,126790,0.126998763,369803,0.203575868,1215067,581,,,,0.007823634,-0.014899944,0.071096661,-0.011424
0.286054548,189395,0.070955261,206612,0.112503393,671490,633,,,,0.102379694,-0.070943447,-0.019975814,0.092576
0.04040816,26754,0.005512622,16052,0.030032403,179252,566,,,,-0.143266695,-0.136386086,-0.102446804,-0.041424
0.170930412,113172,0.286194783,833360,0.16203243,967110,596,,,,-0.012744443,0.144296075,0.029553223,0.018576
0,0,0.019057559,55493,0.016100539,96098,623,,,,-0.183674854,-0.122841149,-0.116378668,0.072576
0.09094328,60213,0.300985658,876429,0.012329986,73593,630,,,,-0.092731574,0.15908695,-0.120149221,0.086576
0.074311201,49201,0.015207103,44281,0.03791915,226325,624,,,,-0.109363654,-0.126691605,-0.094560057,0.074576
0.550423354,364432,0.352707528,1027036,0.383000426,2285984,597,,,,0.366748499,0.21080882,0.250521218,0.020576
0.184636925,122247,0.016793029,48899,0.16999742,1014650,581,,,,0.00096207,-0.125105679,0.037518213,-0.011424
0.417587231,276482,0.530139296,1543693,0.003860189,23040,670,,,,0.233912376,0.388240588,-0.128619018,0.166576
0.688495893,455849,0.456600808,1329559,0.17820652,1063647,645,,,,0.504821039,0.314702101,0.045727313,0.116576
